product_uid,brand,name,slug,category,product_card_image_path,thumbnail_url
geiger:leeway_stool,geiger,leeway stool,leeway_stool,,,
herman_miller:aeron_chairs,herman_miller,aeron chairs,aeron_chairs,,images/herman_miller/aeron_chairs/HMI_Aeron_Chair_A_Size_Height_Adjustable_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:caper_stacking_chair,herman_miller,caper stacking chair,caper_stacking_chair,,images/herman_miller/caper_stacking_chair/HMI_Caper_Stacking_Chair_Fixed_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:cosm_chairs,herman_miller,cosm chairs,cosm_chairs,,images/herman_miller/cosm_chairs/HMI_Cosm_Chair_High_Back_Leaf_Arms_mdl_c.jpg.rendition.480.360.jpg,
herman_miller:eames_aluminum_group_chairs,herman_miller,eames aluminum group chairs,eames_aluminum_group_chairs,,images/herman_miller/eames_aluminum_group_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:eames_coffee_table,herman_miller,eames coffee table,eames_coffee_table,,images/herman_miller/eames_coffee_table/mh_prd_tables.jpg.rendition.480.360.jpg,
herman_miller:eames_lounge_chair_and_ottoman,herman_miller,eames lounge chair and ottoman,eames_lounge_chair_and_ottoman,,images/herman_miller/eames_lounge_chair_and_ottoman/th_prd_swoop_lounge_furniture_side_chairs_fn.jpg,
herman_miller:eames_molded_fiberglass_chairs,herman_miller,eames molded fiberglass chairs,eames_molded_fiberglass_chairs,,images/herman_miller/eames_molded_fiberglass_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:eames_molded_plastic_chairs,herman_miller,eames molded plastic chairs,eames_molded_plastic_chairs,,images/herman_miller/eames_molded_plastic_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:eames_molded_plywood_chairs,herman_miller,eames molded plywood chairs,eames_molded_plywood_chairs,,images/herman_miller/eames_molded_plywood_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:eames_soft_pad_chairs,herman_miller,eames soft pad chairs,eames_soft_pad_chairs,,images/herman_miller/eames_soft_pad_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:eames_tables,herman_miller,eames tables,eames_tables,,images/herman_miller/eames_tables/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:ello_micro_power_access,herman_miller,ello micro power access,ello_micro_power_access,,images/herman_miller/ello_micro_power_access/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:ello_mini_power_access,herman_miller,ello mini power access,ello_mini_power_access,,images/herman_miller/ello_mini_power_access/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:everywhere_tables,herman_miller,everywhere tables,everywhere_tables,,images/herman_miller/everywhere_tables/HMI_EMEA_Everywhere_Tables_mdl_c.jpg.rendition.900.675.jpg,
herman_miller:girard_flower_table,herman_miller,girard flower table,girard_flower_table,,images/herman_miller/girard_flower_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:girard_stool,herman_miller,girard stool,girard_stool,,images/herman_miller/girard_stool/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:mirra_2_chairs,herman_miller,mirra 2 chairs,mirra_2_chairs,,images/herman_miller/mirra_2_chairs/th_prd_mirra_2_chair_office_chairs_fn.jpg,
herman_miller:mirra_2_stool,herman_miller,mirra 2 stool,mirra_2_stool,,images/herman_miller/mirra_2_stool/th_prd_mirra_2_chair_office_chairs_fn.jpg,
herman_miller:motia_sit_to_stand_tables,herman_miller,motia sit to stand tables,motia_sit_to_stand_tables,,images/herman_miller/motia_sit_to_stand_tables/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:oe1_communal_tables,herman_miller,oe1 communal tables,oe1_communal_tables,,images/herman_miller/oe1_communal_tables/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:oe1_mobile_easel,herman_miller,oe1 mobile easel,oe1_mobile_easel,,images/herman_miller/oe1_mobile_easel/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:oe1_sit_to_stand_table,herman_miller,oe1 sit to stand table,oe1_sit_to_stand_table,,images/herman_miller/oe1_sit_to_stand_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
